Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem
9.6712,2,1,SIB,4,1,1,4,5,1,1,3,1,1,1.0,0.0,1.0
3.9616,1,1,ABY,5,1,1,4,5,1,1,2,2,2,2.0,1.0,1.0
2.926,2,1,ABY,6,0,1,5,5,1,1,1,2,1,1.0,1.0,1.0
4.8164,1,1,KOR,4,5,1,3,4,1,1,1,3,2,1.0,0.0,1.0
6.6822,1,1,ABY,6,4,0,5,5,2,1,5,3,1,1.0,3.0,1.0
4.4301,1,1,KOR,4,5,1,5,5,2,1,4,3,1,1.0,0.0,1.0
2.6575,1,1,HCS,4,5,1,3,3,1,1,1,4,4,2.0,4.0,1.0
1.8301,2,1,HCS,2,2,1,4,5,1,1,2,3,2,2.0,0.0,1.0
1.7589,1,1,NFO,5,5,1,5,5,1,1,1,2,1,1.0,3.0,1.0
1.2438,2,1,KOR,5,2,1,5,5,1,1,1,2,1,3.0,1.0,1.0
4.1616,1,1,KOR,4,1,1,5,4,1,1,2,3,3,4.0,0.0,2.0
1.8384,1,1,SIB,4,4,1,3,4,1,1,1,2,1,1.0,0.0,1.0
1.8055,1,1,HCS,1,2,1,4,4,1,1,2,2,1,2.0,4.0,2.0
5.5425,1,1,BRI,6,4,0,2,2,1,1,2,2,2,1.0,1.0,1.0
4.4274,1,1,HCS,3,4,1,2,3,1,1,2,2,2,3.0,4.0,1.0
3.7479,1,1,SIB,4,2,1,5,5,1,1,1,1,1,1.0,0.0,1.0
5.5014,1,1,ABY,4,5,1,3,3,1,1,1,2,2,3.0,0.0,1.0
4.474,1,1,HCS,3,4,1,5,3,2,1,3,2,1,1.0,0.0,0.0
3.7918,1,1,SIB,4,3,1,5,5,1,1,1,1,1,1.0,0.0,1.0
6.5315,2,1,SIB,4,3,1,4,4,1,1,1,1,1,1.0,0.0,1.0
6.1808,2,1,SIB,4,3,1,5,5,1,1,1,1,1,1.0,2.0,1.0
5.0849,2,1,SIB,4,3,1,5,5,1,1,1,1,1,1.0,0.0,1.0
4.7425,2,1,SIB,4,3,1,5,5,1,1,1,1,1,1.0,0.0,1.0
3.7836,2,1,SIB,4,3,1,5,5,1,1,1,1,1,1.0,0.0,1.0
2.6438,1,1,MCO,4,3,1,3,3,1,1,1,3,3,1.0,3.0,1.0
2.526,2,0,SIB,4,3,1,5,5,1,1,1,1,1,1.0,0.0,1.0
2.0986,1,1,SIB,4,3,1,5,5,1,1,1,1,1,1.0,0.0,1.0
9.7425,2,1,SBI,4,4,0,3,3,1,1,2,1,2,2.0,0.0,1.0
5.1123,1,1,ABY,6,4,1,5,5,1,1,1,2,1,1.0,0.0,1.0
5.4329,1,1,HCS,4,4,1,3,4,1,1,1,1,1,1.0,4.0,1.0
7.8795,2,1,KOR,4,4,1,4,4,1,1,2,4,3,1.0,0.0,1.0
10.189,1,1,MCO,6,1,1,3,4,1,1,1,3,2,1.0,0.0,1.0
6.1096,2,1,SIB,6,5,1,3,4,1,1,2,2,2,1.0,0.0,1.0
4.1671,1,1,SIB,4,5,1,3,5,1,1,2,2,1,1.0,0.0,1.0
13.9507,1,1,ABY,4,1,0,3,4,1,1,1,4,1,2.0,4.0,1.0
0.6767,1,0,ABY,4,1,1,5,5,1,1,1,1,1,1.0,0.0,1.0
0.4822,2,0,HCS,4,1,1,4,5,1,1,1,2,1,2.0,0.0,1.0
1.1863,1,1,other,5,1,1,5,5,1,1,1,1,1,3.0,0.0,1.0
0.6274,1,0,other,4,1,1,5,5,1,1,1,1,1,3.0,2.0,1.0
